;def;genes;proportion;significant_area;#_cases;#_controls;pvalue_proportion;pvalue_significant_area;fdr_sig_area;fdr_proportion
975;SNV;PHF20L1;0.3268;0.3196;29;442;0.00140856538941685;0.00562073919593742;0.0350729901210848;0.0107289019886641
421;SNV;ARHGAP21;0.3236;0.3193;37;434;0.00162880315802591;0.00566428520344091;0.0350729901210848;0.0109006248724322
1537;SNV;TACC1;0.3185;0.3193;25;446;0.00204904554465252;0.00566428520344091;0.0350729901210848;0.011493425161661
956;SNV;KDM5B;0.3257;0.3192;29;442;0.00148085170988301;0.00567886939466868;0.0350729901210848;0.0107575549745301
1864;SNV;RABGAP1;0.3185;0.3192;23;448;0.00204904554465252;0.00567886939466868;0.0350729901210848;0.011493425161661
501;SNV;BACE2;0.3256;0.3191;35;436;0.00148759604937867;0.00569348813648548;0.0350729901210848;0.0107738016909546
928;SNV;CDC42BPA;0.3215;0.3191;29;442;0.00179079200456751;0.00569348813648548;0.0350729901210848;0.0110736432602935
2086;SNV;TMEM132A;0.3208;0.3191;22;449;0.00184812013645328;0.00569348813648548;0.0350729901210848;0.0110767654692386
896;SNV;SOX6;0.3243;0.319;30;441;0.00157798503127444;0.0057081415028337;0.0350729901210848;0.0109006248724322
398;SNV;AKAP12;0.3323;0.3189;38;433;0.00109491321003814;0.00572282956779404;0.0350729901210848;0.00987487763015529
1288;SNV;FSTL4;0.3207;0.3188;26;445;0.00185645123738107;0.00573755240558567;0.0350729901210848;0.0110767654692386
623;SNV;MIA3;0.3155;0.3186;33;438;0.00234249910517112;0.00576710269723292;0.0350729901210848;0.0120717767270697
926;SNV;CCDC73;0.3234;0.3185;29;442;0.00164360701613565;0.00578193030022113;0.0350729901210848;0.0109006248724322
548;SNV;CCDC108;0.3184;0.3184;34;437;0.00205823680719285;0.00579679297430618;0.0350729901210848;0.011493425161661
733;SNV;EHMT1;0.3304;0.3184;31;440;0.00119483210698166;0.00579679297430618;0.0350729901210848;0.0101944068301957
